5d671bb8cfc729eae96fa6e4b31f0a75cae2d9535198a3b8c9dd70aeaef1ec51d29578170e6e46dece59f26039180679f27a9416ffaa07a525f16449d1934cb8
id	year	month	day	hour	minute	gender	age	handedness	languages	music	gaming	wait	block	trial	target_location	target	flankers	rt	response	error	pre_target_response	ITI_response
11	2011	11	29	12	54	m	20	r	2	5	2	4.54155302048	practice	1	down	black	neutral	2.51276898384	white	TRUE	FALSE	FALSE
11	2011	11	29	12	54	m	20	r	2	5	2	4.54155302048	practice	2	down	black	congruent	1.40767097473	white	TRUE	FALSE	FALSE
11	2011	11	29	12	54	m	20	r	2	5	2	4.54155302048	practice	3	up	black	congruent	1.56102204323	white	TRUE	FALSE	FALSE
11	2011	11	29	12	54	m	20	r	2	5	2	4.54155302048	practice	4	right	black	neutral	0.8878428936	white	TRUE	FALSE	FALSE
11	2011	11	29	12	54	m	20	r	2	5	2	4.54155302048	practice	5	down	black	incongruent	8.41141581535	black	FALSE	FALSE	FALSE
11	2011	11	29	12	54	m	20	r	2	5	2	4.54155302048	practice	6	up	white	neutral	0.827347993851	white	FALSE	FALSE	FALSE
11	2011	11	29	12	54	m	20	r	2	5	2	4.54155302048	practice	7	up	white	incongruent	0.834846973419	black	TRUE	FALSE	FALSE
11	2011	11	29	12	54	m	20	r	2	5	2	4.54155302048	practice	8	right	white	congruent	0.728924036026	white	FALSE	FALSE	FALSE
11	2011	11	29	12	54	m	20	r	2	5	2	4.54155302048	practice	9	down	white	incongruent	0.779103040695	white	FALSE	FALSE	FALSE
11	2011	11	29	12	54	m	20	r	2	5	2	4.54155302048	practice	10	down	white	neutral	0.548990011215	white	FALSE	FALSE	FALSE
11	2011	11	29	12	54	m	20	r	2	5	2	4.54155302048	practice	11	left	white	neutral	0.548889875412	white	FALSE	FALSE	FALSE
11	2011	11	29	12	54	m	20	r	2	5	2	4.54155302048	practice	12	right	white	neutral	0.548848152161	white	FALSE	FALSE	FALSE
11	2011	11	29	12	54	m	20	r	2	5	2	4.54155302048	practice	13	down	white	congruent	0.576995849609	white	FALSE	FALSE	FALSE
11	2011	11	29	12	54	m	20	r	2	5	2	4.54155302048	practice	14	up	black	neutral	1.37959909439	black	FALSE	FALSE	FALSE
11	2011	11	29	12	54	m	20	r	2	5	2	4.54155302048	practice	15	up	black	incongruent	2.28784799576	black	FALSE	TRUE	FALSE
11	2011	11	29	12	54	m	20	r	2	5	2	4.54155302048	practice	16	left	black	neutral	0.752889156342	black	FALSE	FALSE	FALSE
11	2011	11	29	12	54	m	20	r	2	5	2	4.54155302048	practice	17	right	black	incongruent	0.502991914749	white	TRUE	FALSE	FALSE
