350f4b96303c0810b09e306b9e8ecac9e874d3645940a057b5b9a346910e27f5d0807bf8ab38b8f1e9d6b11431c26e2c7d80bfd9168bd6b4e75281d1897d57ce
id	year	month	day	hour	minute	gender	age	handedness	languages	music	gaming	wait	block	trial	target_location	target	flankers	rt	response	error	pre_target_response	ITI_response
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	1	up	white	neutral	0.962415933609	white	FALSE	FALSE	FALSE
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	2	down	white	neutral	0.619791984558	white	FALSE	FALSE	FALSE
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	3	left	white	incongruent	0.635497808456	white	FALSE	FALSE	FALSE
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	4	left	black	neutral	0.686573982239	black	FALSE	FALSE	FALSE
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	5	left	black	neutral	0.575939893723	black	FALSE	FALSE	FALSE
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	6	left	black	congruent	0.562711000443	black	FALSE	FALSE	FALSE
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	7	down	white	incongruent	0.524821043015	white	FALSE	FALSE	FALSE
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	8	down	white	congruent	0.511356830597	white	FALSE	FALSE	FALSE
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	9	up	black	incongruent	0.50896191597	black	FALSE	FALSE	FALSE
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	10	right	black	congruent	0.668832063675	black	FALSE	FALSE	FALSE
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	11	down	black	congruent	0.456406831741	black	FALSE	FALSE	FALSE
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	12	up	white	congruent	0.328443050385	white	FALSE	FALSE	FALSE
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	13	up	black	neutral	0.464947938919	black	FALSE	FALSE	FALSE
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	14	right	black	neutral	0.316762924194	black	FALSE	FALSE	FALSE
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	15	down	black	neutral	0.371469020844	black	FALSE	FALSE	FALSE
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	16	down	black	incongruent	0.359683990479	black	FALSE	FALSE	FALSE
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	17	right	black	neutral	0.463280916214	black	FALSE	FALSE	FALSE
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	18	up	white	neutral	0.464320898056	white	FALSE	FALSE	FALSE
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	19	left	black	incongruent	0.411875009537	black	FALSE	FALSE	FALSE
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	20	right	white	neutral	0.520064115524	white	FALSE	FALSE	FALSE
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	21	up	white	incongruent	0.732599973679	white	FALSE	FALSE	FALSE
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	22	left	white	congruent	0.493007898331	white	FALSE	FALSE	FALSE
37	2011	12	05	16	13	f	22	r	1	10	0	87.9743080139	practice	23	right	black	incongruent	0.440986156464	black	FALSE	FALSE	FALSE
