a6be0ca3fb79242c517ee7ff6b6814755a331cbca9b266c7636f59adb0dcde0cd6baa0126fbd50c932e70c940756e9d59ef16ab86511bfcddbe9f0f8cb7f2be5
id	year	month	day	hour	minute	gender	age	handedness	languages	music	gaming	wait	block	trial	target_location	target	flankers	rt	response	error	pre_target_response	ITI_response
3	2011	11	28	12	08	m	21	r	1	0	3	28.4430530071	practice	1	up	white	incongruent	0.646839141846	white	FALSE	FALSE	FALSE
3	2011	11	28	12	08	m	21	r	1	0	3	28.4430530071	practice	2	up	black	congruent	0.532732009888	black	FALSE	FALSE	FALSE
3	2011	11	28	12	08	m	21	r	1	0	3	28.4430530071	practice	3	left	black	neutral	0.843842983246	black	FALSE	FALSE	FALSE
3	2011	11	28	12	08	m	21	r	1	0	3	28.4430530071	practice	4	up	white	congruent	0.491409063339	white	FALSE	FALSE	FALSE
3	2011	11	28	12	08	m	21	r	1	0	3	28.4430530071	practice	5	down	black	congruent	0.560493946075	black	FALSE	FALSE	FALSE
3	2011	11	28	12	08	m	21	r	1	0	3	28.4430530071	practice	6	up	white	neutral	0.476286172867	white	FALSE	FALSE	FALSE
3	2011	11	28	12	08	m	21	r	1	0	3	28.4430530071	practice	7	up	black	incongruent	0.537024974823	white	TRUE	FALSE	FALSE
3	2011	11	28	12	08	m	21	r	1	0	3	28.4430530071	practice	8	left	white	neutral	0.708059072495	white	FALSE	FALSE	FALSE
3	2011	11	28	12	08	m	21	r	1	0	3	28.4430530071	practice	9	right	white	incongruent	0.612879991531	white	FALSE	FALSE	FALSE
3	2011	11	28	12	08	m	21	r	1	0	3	28.4430530071	practice	10	down	black	incongruent	0.588129043579	black	FALSE	FALSE	FALSE
3	2011	11	28	12	08	m	21	r	1	0	3	28.4430530071	practice	11	down	white	congruent	0.508196115494	white	FALSE	FALSE	FALSE
3	2011	11	28	12	08	m	21	r	1	0	3	28.4430530071	practice	12	down	white	incongruent	0.519927978516	white	FALSE	FALSE	FALSE
3	2011	11	28	12	08	m	21	r	1	0	3	28.4430530071	practice	13	left	white	congruent	0.456619024277	white	FALSE	FALSE	FALSE
3	2011	11	28	12	08	m	21	r	1	0	3	28.4430530071	practice	14	right	black	congruent	0.363801002502	black	FALSE	FALSE	FALSE
3	2011	11	28	12	08	m	21	r	1	0	3	28.4430530071	practice	15	up	black	neutral	0.836901903152	black	FALSE	FALSE	FALSE
