24581f03cd56258887b111f64adf410e643bdba0e980e7d1f923ca55429ce70dc5cf27688b4d049305732e9b676c87d4d84c240a562ebbaea138c02f36713842
id	year	month	day	hour	minute	gender	age	handedness	languages	music	gaming	wait	block	trial	target_location	target	flankers	rt	response	error	pre_target_response	ITI_response
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	1	down	white	neutral	0.78339600563	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	2	up	black	incongruent	0.558668851852	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	3	down	black	incongruent	0.595485925674	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	4	left	white	neutral	0.501055002213	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	5	up	white	neutral	0.63262796402	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	6	down	white	neutral	0.408946990967	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	7	left	black	incongruent	0.53294301033	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	8	left	white	neutral	0.594835042953	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	9	right	white	congruent	0.572046995163	black	TRUE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	10	left	black	neutral	0.56080698967	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	11	right	white	neutral	0.500638961792	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	12	down	black	neutral	0.632528066635	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	13	down	white	incongruent	0.632732152939	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	14	up	white	incongruent	0.972870111465	black	TRUE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	15	up	black	neutral	0.600193977356	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	16	left	black	congruent	0.539665937424	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	17	down	black	neutral	0.640568971634	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	18	up	black	neutral	0.460208892822	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	19	right	white	incongruent	0.572379827499	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	20	right	black	neutral	0.615995883942	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	21	right	black	neutral	0.456877946854	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	22	left	black	neutral	0.424563169479	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	23	left	white	incongruent	0.392488002777	black	TRUE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	24	up	white	neutral	0.392020940781	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	25	left	white	congruent	0.472720861435	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	26	down	black	congruent	0.624071121216	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	27	right	black	congruent	0.512894153595	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	28	up	black	congruent	0.416629076004	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	29	right	white	neutral	0.444459199905	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	30	right	black	incongruent	0.548775911331	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	31	up	white	congruent	0.492364168167	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	11.9305379391	practice	32	down	white	congruent	0.504971027374	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	1	right	white	neutral	0.527904987335	black	TRUE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	2	up	black	incongruent	0.539537191391	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	3	down	white	incongruent	0.516242980957	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	4	down	black	incongruent	0.47462105751	white	TRUE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	5	up	white	congruent	0.447233915329	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	6	down	black	neutral	4.29153442383e-05	black	FALSE	TRUE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	7	right	white	incongruent	0.551445960999	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	8	left	black	neutral	0.784947872162	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	9	down	black	neutral	0.528784990311	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	10	left	black	incongruent	0.840934991837	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	11	up	black	neutral	0.38897895813	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	12	up	white	incongruent	0.631381988525	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	13	right	black	incongruent	0.316428899765	white	TRUE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	14	right	white	neutral	0.416887044907	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	15	right	white	congruent	0.783915996552	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	16	left	black	congruent	0.37957906723	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	17	up	black	neutral	0.475286960602	white	TRUE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	18	left	white	neutral	0.547559976578	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	19	right	black	neutral	0.508414983749	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	20	down	black	congruent	0.42861700058	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	21	up	black	congruent	0.491832971573	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	22	right	black	congruent	0.468945980072	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	23	left	black	neutral	0.435934066772	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	24	left	white	incongruent	0.372371912003	black	TRUE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	25	up	white	neutral	0.619951963425	black	TRUE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	26	left	white	neutral	0.640665054321	black	TRUE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	27	down	white	neutral	0.496953010559	black	TRUE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	28	down	white	congruent	0.564391136169	black	TRUE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	29	up	white	neutral	0.59697508812	black	TRUE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	30	left	white	congruent	0.380941152573	black	TRUE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	31	down	white	neutral	0.596275806427	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	2.45478796959	1	32	right	black	neutral	0.556787967682	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	3.24860811234	2	1	left	black	neutral	0.626273155212	white	TRUE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	3.24860811234	2	2	down	black	congruent	0.560603141785	white	TRUE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	3.24860811234	2	3	up	white	congruent	0.422965049744	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	3.24860811234	2	4	left	black	incongruent	0.448568105698	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	3.24860811234	2	5	right	white	neutral	0.5041680336	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	3.24860811234	2	6	left	white	neutral	0.464997053146	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	3.24860811234	2	7	down	white	neutral	0.59533405304	black	TRUE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	3.24860811234	2	8	left	white	incongruent	0.547766208649	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	3.24860811234	2	9	right	white	congruent	0.548722028732	black	TRUE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	3.24860811234	2	10	right	black	congruent	0.443162918091	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	3.24860811234	2	11	left	black	congruent	0.491514921188	black	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	3.24860811234	2	12	right	white	incongruent	0.47703909874	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	3.24860811234	2	13	left	white	congruent	0.704686880112	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	3.24860811234	2	14	down	white	incongruent	0.400949954987	white	FALSE	FALSE	FALSE
48	2011	12	09	10	05	f	19	r	1	15	0	3.24860811234	2	15	up	black	neutral	0.417023897171	black	FALSE	FALSE	FALSE
