data,block,trial,oneTrigger,trigger
10_2011_11_29_11_08_,practice,1,1,left
10_2011_11_29_11_08_,practice,2,1,right
10_2011_11_29_11_08_,practice,3,1,left
10_2011_11_29_11_08_,practice,4,1,left
10_2011_11_29_11_08_,practice,5,1,right
10_2011_11_29_11_08_,practice,6,1,right
10_2011_11_29_11_08_,practice,7,1,left
10_2011_11_29_11_08_,practice,8,1,left
10_2011_11_29_11_08_,practice,9,1,right
10_2011_11_29_11_08_,practice,10,1,left
10_2011_11_29_11_08_,practice,11,0,left/right
10_2011_11_29_11_08_,practice,12,1,right
10_2011_11_29_11_08_,practice,13,1,right
10_2011_11_29_11_08_,practice,14,1,left
10_2011_11_29_11_08_,practice,15,1,right
10_2011_11_29_11_08_,practice,16,1,left
10_2011_11_29_11_08_,practice,17,1,left
10_2011_11_29_11_08_,practice,18,0,left/right
10_2011_11_29_11_08_,practice,19,1,right
10_2011_11_29_11_08_,practice,20,1,right
10_2011_11_29_11_08_,practice,21,1,left
10_2011_11_29_11_08_,practice,22,1,right
10_2011_11_29_11_08_,practice,23,0,left/right
10_2011_11_29_11_08_,practice,24,1,right
10_2011_11_29_11_08_,practice,25,1,right
10_2011_11_29_11_08_,practice,26,1,right
10_2011_11_29_11_08_,practice,27,1,left
10_2011_11_29_11_08_,practice,28,0,left/right
10_2011_11_29_11_08_,practice,29,0,left/right
10_2011_11_29_11_08_,practice,30,1,left
10_2011_11_29_11_08_,practice,31,1,left
10_2011_11_29_11_08_,practice,32,1,left
10_2011_11_29_11_08_,1,1,1,right
10_2011_11_29_11_08_,1,2,1,left
10_2011_11_29_11_08_,1,3,1,left
10_2011_11_29_11_08_,1,4,1,right
10_2011_11_29_11_08_,1,5,1,left
10_2011_11_29_11_08_,1,6,1,left
10_2011_11_29_11_08_,1,7,1,left
10_2011_11_29_11_08_,1,8,1,left
10_2011_11_29_11_08_,1,9,1,right
10_2011_11_29_11_08_,1,10,1,left
10_2011_11_29_11_08_,1,11,0,left/right
10_2011_11_29_11_08_,1,12,0,left/right
10_2011_11_29_11_08_,1,13,1,right
10_2011_11_29_11_08_,1,14,1,left
10_2011_11_29_11_08_,1,15,1,left
10_2011_11_29_11_08_,1,16,1,right
10_2011_11_29_11_08_,1,17,1,right
10_2011_11_29_11_08_,1,18,1,left
10_2011_11_29_11_08_,1,19,1,left
10_2011_11_29_11_08_,1,20,0,left/right
10_2011_11_29_11_08_,1,21,1,left
10_2011_11_29_11_08_,1,22,1,right
10_2011_11_29_11_08_,1,23,0,left/right
10_2011_11_29_11_08_,1,24,1,right
10_2011_11_29_11_08_,1,25,1,right
10_2011_11_29_11_08_,1,26,1,left
10_2011_11_29_11_08_,1,27,1,right
10_2011_11_29_11_08_,1,28,1,left
10_2011_11_29_11_08_,1,29,1,left
10_2011_11_29_11_08_,1,30,1,right
10_2011_11_29_11_08_,1,31,1,right
10_2011_11_29_11_08_,1,32,1,left
10_2011_11_29_11_08_,2,1,1,right
10_2011_11_29_11_08_,2,2,1,left
10_2011_11_29_11_08_,2,3,1,right
10_2011_11_29_11_08_,2,4,1,left
10_2011_11_29_11_08_,2,5,1,left
10_2011_11_29_11_08_,2,6,1,right
10_2011_11_29_11_08_,2,7,1,right
10_2011_11_29_11_08_,2,8,1,right
10_2011_11_29_11_08_,2,9,1,right
10_2011_11_29_11_08_,2,10,1,left
10_2011_11_29_11_08_,2,11,1,right
10_2011_11_29_11_08_,2,12,1,right
10_2011_11_29_11_08_,2,13,1,right
10_2011_11_29_11_08_,2,14,1,right
10_2011_11_29_11_08_,2,15,1,left
10_2011_11_29_11_08_,2,16,1,left
10_2011_11_29_11_08_,2,17,0,left/right
10_2011_11_29_11_08_,2,18,1,right
10_2011_11_29_11_08_,2,19,1,left
10_2011_11_29_11_08_,2,20,1,right
10_2011_11_29_11_08_,2,21,0,left/right
10_2011_11_29_11_08_,2,22,1,right
10_2011_11_29_11_08_,2,23,1,left
10_2011_11_29_11_08_,2,24,1,left
10_2011_11_29_11_08_,2,25,1,left
10_2011_11_29_11_08_,2,26,1,right
10_2011_11_29_11_08_,2,27,1,left
10_2011_11_29_11_08_,2,28,1,right
10_2011_11_29_11_08_,2,29,1,left
10_2011_11_29_11_08_,2,30,1,right
10_2011_11_29_11_08_,2,31,1,left
10_2011_11_29_11_08_,2,32,0,left/right
10_2011_11_29_11_08_,3,1,1,left
10_2011_11_29_11_08_,3,2,1,right
10_2011_11_29_11_08_,3,3,1,left
10_2011_11_29_11_08_,3,4,1,left
10_2011_11_29_11_08_,3,5,1,right
10_2011_11_29_11_08_,3,6,1,right
10_2011_11_29_11_08_,3,7,0,left/right
10_2011_11_29_11_08_,3,8,1,left
10_2011_11_29_11_08_,3,9,1,right
10_2011_11_29_11_08_,3,10,1,left
10_2011_11_29_11_08_,3,11,1,right
10_2011_11_29_11_08_,3,12,1,right
10_2011_11_29_11_08_,3,13,1,left
10_2011_11_29_11_08_,3,14,1,left
10_2011_11_29_11_08_,3,15,1,right
10_2011_11_29_11_08_,3,16,1,right
10_2011_11_29_11_08_,3,17,1,left
10_2011_11_29_11_08_,3,18,1,left
10_2011_11_29_11_08_,3,19,1,right
10_2011_11_29_11_08_,3,20,1,left
10_2011_11_29_11_08_,3,21,0,left/right
10_2011_11_29_11_08_,3,22,1,left
10_2011_11_29_11_08_,3,23,1,right
10_2011_11_29_11_08_,3,24,1,right
10_2011_11_29_11_08_,3,25,1,left
10_2011_11_29_11_08_,3,26,1,right
10_2011_11_29_11_08_,3,27,1,left
10_2011_11_29_11_08_,3,28,0,left/right
10_2011_11_29_11_08_,3,29,1,right
10_2011_11_29_11_08_,3,30,1,left
10_2011_11_29_11_08_,3,31,1,right
10_2011_11_29_11_08_,3,32,1,right
10_2011_11_29_11_08_,4,1,1,left
10_2011_11_29_11_08_,4,2,1,right
10_2011_11_29_11_08_,4,3,1,right
10_2011_11_29_11_08_,4,4,1,right
10_2011_11_29_11_08_,4,5,1,left
10_2011_11_29_11_08_,4,6,1,right
10_2011_11_29_11_08_,4,7,1,left
10_2011_11_29_11_08_,4,8,1,right
10_2011_11_29_11_08_,4,9,1,right
10_2011_11_29_11_08_,4,10,1,right
10_2011_11_29_11_08_,4,11,1,left
10_2011_11_29_11_08_,4,12,1,left
10_2011_11_29_11_08_,4,13,1,right
10_2011_11_29_11_08_,4,14,0,left/right
10_2011_11_29_11_08_,4,15,0,left/right
10_2011_11_29_11_08_,4,16,1,left
10_2011_11_29_11_08_,4,17,1,right
10_2011_11_29_11_08_,4,18,1,left
10_2011_11_29_11_08_,4,19,1,right
10_2011_11_29_11_08_,4,20,1,left
10_2011_11_29_11_08_,4,21,1,right
10_2011_11_29_11_08_,4,22,1,right
10_2011_11_29_11_08_,4,23,1,left
10_2011_11_29_11_08_,4,24,0,left/right
10_2011_11_29_11_08_,4,25,1,left
10_2011_11_29_11_08_,4,26,0,left/right
